no,keyword,runtime,like,title,title_ko,channel,date
1,한국여행,5:17,7948,终于有人把首尔讲清楚了！ 韩国首尔四天三夜保姆级攻略~ #首尔 #韩国 #旅行,드디어 누군가 서울을 제대로 알려줬어요! 3박 4일 동안의 대한민국 서울 여행~ #서울 #대한민국 #여행,@Linlin的奇妙冒险,2024-11-05
2,한국여행,5:40,130000,韩国皇宫，小小的也很可爱！ #韩国 #景福宫 #韩国旅缩力 #旅缩力,작고 귀여운 한국의 왕궁! 한국 #경복궁 #한국여행 #여행의힘 #여행의힘,@马佳matta,2024-11-05
3,한국여행,8:08,14000,把P人逼成J人的超详细首尔攻略！！！看完还不会玩的我带你去🙂#国庆 #韩国旅行 #vlog #小众 #攻略,P족을 J족으로 만드는 초특급 서울 가이드!!!! 이 글을 읽고도 재미없으시다면 제가 데려다 드릴게요 🙂 #국경일 #한국여행 #브이로그 # 틈새 #팁,@心想是陈奶酪Ya(卷土重来版),2024-09-28
4,한국여행,0,168,📍韩国 自由小团，说走就走🏃。☑️甄选特色美食：人参鸡、石锅拌饭、烤肉、炸酱面.... ☑️精选住宿：韩式四花酒店或同级 #韩国 #济南旅行社 #山东出发,"한국 무료 소그룹, 그냥 가자 🏃. ☑️ 선정 특선 음식: 인삼닭, 돌솥비빔밥, 바비큐, 볶음면 .... ☑️ 선택 숙소: 한국식 4성급 호텔 또는 동급 #한국 #지남여행 #산동출발",@国旅优景旅行,2024-09-03
5,한국여행,19:19,5293,中国小伙闲逛首尔明洞 垃圾遍地 美女如云 彻底刷新认知 #我被旅行治愈了 #铁腚旅行 #鸣潮 #吹爆美好目的地 #vlog十亿流量扶持计划,"서울 명동 돌아다니는 중국인 남자, 사방에 쓰레기, 아름다운 여자, 완전히 상쾌한 #나는여행으로 치유된다 #철밥통여행 #명태 #멋진여행지폭파 #블로깅 10억 교통비 지원 제도",@野原新之助天下第一,2024-09-23
6,한국여행,9:39,13000,首尔vlog🇰🇷|五天四晚的幸福逛吃日记 #韩国 #旅游 #vlog,서울 브이로그 🇰🇷|4박 5일간의 행복한 쇼핑과 먹방 일기 #한국 #여행 #브이로그,@我才是十一,2024-09-05
7,한국여행,1:03,3349,去济州岛来一次说走就走的旅行 #韩国 #济州岛 #玻璃海 #旅行推荐官,제주여행 #한국 #제주 #유리바다 #여행추천관,@爱尚日韩游,2024-09-14
8,한국여행,0,833,📍韩国#韩国自由行攻略 #韩国旅游 #首尔旅游攻略 #第一次去韩国有哪些注意事项 #韩国游记,한국 #한국자유여행팁 #한국여행 #서울여행팁 #첫 한국여행에서 해야할일 #한국여행기,@鹏程旅游-🍚🍚,2024-08-14
9,한국여행,3:07,1181,你们心心念念的首尔+釜山旅行vlog来啦！看到最后超爽～ #韩国 #釜山 #旅行vlog #国庆假期被安排明白了#旅行碎片,여러분들이 기다리셨던 서울+부산 여행 브이로그가 드디어 공개됩니다! 끝을 보니 너무 시원하네요~ #한국 #부산 #여행 브이로그 #국경일휴가 #여행의조각들 #여행스타그램,@是小安呀,2024-10-06
10,한국여행,0,422,首尔没什么好逛的❓去过这些才知道多好玩！。近期准备去首尔的宝子们赶快🐎住，来了首尔这些景点一定要打卡这九个景点，不然会少许多乐趣！🥰🥰🥰 ✅南山公园 ✅明洞 ✅景福宫 ✅北村韩屋村 ✅东大门 ✅弘大 ✅青瓦台 ✅新沙洞林荫道 ✅星空图书馆 —— ➕另外，喜欢追星的女生可以去几大娱乐公司总部看看，可以高频偶遇爱豆🤩哦 SM娱乐 📍83-21 Seongdong-gu Seoul ✅JYP 📍서울 강동구 강동대로 205 JYP Center ✅YJ娱乐 📍220 Bucheon-si Gyeonggi-do ✅HYBE 📍서울 용산구 한강대로 3가 65-9 —— ➕再另外，想买免税商品的，可以去： ✅新罗免税店 ✅乐天免税店 ✅新世界免税店 ✅现代百货免税店 #韩国 #首尔旅行 #旅游攻略 #旅行推荐官 #韩国欧巴,"서울에는 볼 것이 없다 ❓ 이것들을 가봐야 얼마나 재미있는지 알 수 있습니다! 가까운 시일 내에 서울에 갈 계획이 있다면 서둘러서 🐎 라이브, 서울에 올 때 이 9곳을 꼭 방문해야 합니다. 그렇지 않으면 훨씬 덜 재미있을 것입니다! ✅ 남산공원 ✅ 명동 ✅ 경복궁 ✅ 북촌 한옥마을 ✅ 동대문 ✅ 홍대 ✅ 청와대 ✅ 신사동 가로수길 ✅ 스타 도서관 - ➕스타를 따라가고 싶은 소녀들은 주요 엔터테인먼트 회사의 본사에 갈 수도 있습니다! 오 SM엔터테인먼트 📍서울 성동구 성동로 83-21 ✅JYP 📍서울 강동구 강동대로 205 JYP센터 ✅YJ엔터테인먼트 📍경기도 부천시 220 ✅하이브 📍서울 용산구 한강대로 3가 65-9 -- ➕면세품 구매를 원하시는 분들은 ✅신라면세점 ✅롯데면세점 ✅신세계면세점 ✅현대면세점 #대한민국 #서울 #여행 #여행팁 #여행추천관 #한국오바입니다.",@虾米旅行 | 全球度假,2024-08-20
