no,keyword,keyword_ko,runtime,like,title,title_ko,channel,date
1,耽罗文化节,탐라문화제,0:39,99,#海外文化传播 #汉服小姐姐 #耽罗文化节 #文化自信,#해외 문화 전파 #한복 여성 #탐라문화제 #문화 자신감,@老城区归国华侨联合会,2024-10-05
2,耽罗文化节,탐라문화제,1:39,39,济州岛街头偶遇韩国隆重的耽罗文化节，氛围感很浓,제주도의 성대한 탐라문화제는 분위기가 아주 좋습니다.,@铃声,2024-10-05
3,耽罗文化节,탐라문화제,0,25,姐姐和小伙伴们参加韩国耽罗文化节，与多国艺术团共巡游，活动圆满成功！#五指山黎苗童声合唱团#新中国成立75周年 #中韩文化交流#韩国济州,"한국에서 열린 탐라문화제에서 다국적 예술단과 함께 퍼레이드를 펼치며 성황리에 행사를 마친 리우지산 자매와 친구들! #우즈산 리와 묘족 어린이 합창단 #신중국 건국 75주년 #한중문화교류 #제주, 한국",@尤然🎶-回村的小李-水满乡新村（苗寨）,2024-10-08
4,耽罗文化节,탐라문화제,0:31,1131,赴韩演出！洛职师生出国开展文艺交流，惊艳亮相韩国耽罗文化艺术节！（来源：戏曲艺术学院）#洛阳职业技术学院 #戏曲艺术#国际文化交流#韩国耽罗文化艺术节,한국에서의 공연! 낙양직업기술대학의 교사와 학생들이 문화교류를 위해 해외로 나가 한국의 탐라문화예술제에서 멋진 공연을 펼쳤습니다! (출처: 연극예술학원) #뤄양직업기술학원 #연극예술 #국제문화교류 #한국탐라문화예술제,@洛阳职业技术学院,2024-10-06
5,耽罗文化节,탐라문화제,1:35,26,华流才是顶流！洛阳艺术家代表团：韩国济州第62届耽罗文化节，我们来啦！着我汉家衣冠华裳，非遗传承由我弘扬#洛阳#汉服#老城区#洛邑古城 #济州@精彩老城,"한류는 최고의 흐름입니다! 뤄양 예술단: 대한민국 제주에서 열리는 제62회 탐라문화제, 우리가 간다! 중국 한복과 의상을 입고, 우리의 비 유전적 유산을 홍보하고 있습니다 #뤄양 #한복 #구도심 #뤄이고대도시 #제주@FantasticOldTown",@老城区归国华侨联合会,2023-10-09
6,耽罗文化节,탐라문화제,0:20,663,洛职师生出国开展文艺交流，惊艳亮相韩国耽罗文化艺术节!#中国文化 #走出国门 #华流才是顶流 #河南dou知道 #中国城市建设网河南频道,루오정의 교사와 학생들이 문화 예술 교류를 위해 해외로 나가 한국의 탐라문화예술제에서 멋진 모습을 보였습니다! #중국문화 #해외여행 #화류가 최고 스트림 #허난은 알고있다 #중국 도시 건설 네트워크 허난 채널,@豫城有闻,2024-10-09
7,耽罗文化节,탐라문화제,0:44,65,五指山黎苗童声合唱团亮相耽罗文化节 与多国艺术团共巡游 #海南五指山 #韩国 #童声合唱团,탐라문화제 퍼레이드에서 다국적 공연단과 함께하는 우지산 리먀오 어린이 합창단 #하이난우지산 #한국 #어린이합창단,@五指山市融媒体中心,2024-10-07
8,耽罗文化节,탐라문화제,0:20,1947,河南一高校学子赴韩演出，惊艳亮相韩国耽罗文化艺术节！#国粹 #戏曲 #大学生 #河南教育,허난성의 한 대학 학생들이 한국 탐라문화예술제에서 멋진 공연을 선보이기 위해 한국을 방문했습니다! #전국 #오페라 #대학생 #허난성 교육,@河南省教育厅,2024-10-06
9,耽罗文化节,탐라문화제,0:26,276,洛邑古城演艺团队受邀参加韩国第62届耽罗文化艺术节！#来洛邑古城一起穿越吧,여의도시 공연단이 제62회 탐라문화제 대한민국 예술제에 초청받아 참가했습니다! 노량진 구도심에서 #함께여행가자!,@洛邑小散仙儿,2023-10-10
10,耽罗文化节,탐라문화제,0:19,512,#韩国济州#韩国济州文化节#洛阳 #神都洛阳 #武则天,"#제주, 대한민국 #제주문화제, 대한민국 #뤄양 #선두뤄양 #우쯔톈",@中华文明源中原,2023-10-14
11,耽罗文化节,탐라문화제,1:59,1,济州岛旅行的意义收获 国庆假期第五天，巧遇济州岛的第63届耽罗文化节街头游行。#国庆假期 #国庆心动打卡地 #国庆超会玩指南 #济州岛旅游 #耽罗文化节,"제주도 여행의 의미 있는 보람 국경일 연휴 5일째, 우연히 제주도에서 제63회 탐라문화제 거리 퍼레이드를 보게 되었습니다. 국경일 연휴 #국경일 가볼만한곳 #국경일 가볼만한곳 #국경일 가볼만한곳 #제주도관광 #단라문화제",@Kevin老师,2024-10-09
12,耽罗文化节,탐라문화제,0:20,5,受韩国济州自治道政府和韩国艺总济州自治道联合会邀请，10月6日至10日，19名来自洛阳的艺术家和演员们，身着独具中华文化特色的汉服走出国门，参加韩国第62届济州耽罗文化节。 7日，洛阳艺术家代表团与韩国各个城市参加活动的团队，以及来自巴西、日本、越南、蒙古等国家的海外艺术团体一同盛装参加耽罗文化节巡游活动。洛阳代表团身着汉服的卖货郎组合，热情的与围观群众游客互动，分发带有中国元素的小礼物，深受大家喜爱。,"제주자치도 정부와 재한제주자치도민연합회의 초청으로 중국 고유의 문화가 담긴 한복(중국 전통 의상)을 입은 뤄양시 예술가 및 공연단 19명이 10월 6일부터 10일까지 한국에서 열리는 제62회 제주토란문화축제에 참가하기 위해 출국했다. 7일 뤄양 예술단은 국내 여러 도시 예술단 및 브라질, 일본, 베트남, 몽골 등 해외 예술단과 함께 한복을 입고 축제 퍼레이드에 참가했다. 중국 의상을 입은 뤄양 대표단은 구경꾼 및 관광객들과 열정적으로 교류하며 중국적인 요소가 가미된 작은 선물을 나눠주어 모두의 호평을 받았습니다.",@凤观,2023-10-09
13,耽罗文化节,탐라문화제,1:22,11,济州岛艺术之行#耽罗文化节 #古琴 #乐器演奏 #古琴演奏 #文化节,제주도아트투어 #단라문화제 #구친 #악기 #구친공연 #문화축제,@上阳琴院,2023-10-09
14,耽罗文化节,탐라문화제,0:24,138,华流来袭！洛邑古城汉服艺术团登陆韩国济州岛参加第63届耽罗文化节 #洛邑古城 #济州岛 #韩国 #汉服,한류가 온다! 제63회 탐라문화제 참가를 위해 대한민국 제주도에 상륙한 노여고도 한복예술단 #노여고도 #제주도 #한국 #한복,@精彩老城,2024-10-06
15,耽罗文化节,탐라문화제,0:16,369,华流来袭！应韩国济州道政府邀请，洛阳高校师生组成“洛邑汉服艺术团”，惊艳亮相第63届耽罗文化节。#华流 #洛阳,한류가 온다! 대한민국 제주도 정부의 초청으로 뤄양대학교의 교사와 학생들이 '뤄이 한복 예술단'을 결성해 제63회 탐라문화제에서 멋진 공연을 선보였습니다. #한류 #뤄양,@网信河南,2024-10-10
16,耽罗文化节,탐라문화제,0:30,91,陈国梁市长参加耽罗文化节 向韩国朋友发出五指山雨林之约 #海南五指山 #韩国 #热带雨林,천궈량 시장이 탄라문화축제에 참가해 한국 친구들에게 열대우림 데이트를 선물하는 #하이난우지산 #한국 #열대우림,@五指山市融媒体中心,2024-10-07
17,耽罗文化节,탐라문화제,0:24,43,#洛阳 #汉服,#뤄양 #한우,@凤观,2024-10-06
18,耽罗文化节,탐라문화제,0:20,288,10月7日，韩国，受邀参加韩国第62届济州耽罗文化节，洛阳代表团身着汉服的卖货郎组合，热情的与围观群众游客互动,"10월 7일, 한국 제62회 제주토란문화축제에 초청된 뤄양시 대표단, 한복 판매단 복장하고 관람객과 열띤 교류",@河南新闻广播,2023-10-09
19,耽罗文化节,탐라문화제,0:18,66,韩国济州第62届耽罗文化节 加强国际交流 助推洛阳老城打造国际新文旅目的地,"제62회 탐라문화제, 대한민국 제주 국제교류 강화 및 낙양 구시가지의 새로운 국제 문화관광지로 육성",@大象洛阳,2023-10-11
20,耽罗文化节,탐라문화제,0:27,783,“中国有礼仪之大，故称夏，有服章之美，谓之华”。10月5日，应韩国济州道政府邀请，洛阳13名艺术家组成“洛邑汉服艺术团”，惊艳亮相第63届耽罗文化节。#洛阳,"""지난 10월 5일, 대한민국 제주도 정부의 초청으로 뤄양의 예술가 13명이 '뤄이 한복 예술단'을 결성해 제63회 탐라문화제에서 멋진 공연을 펼쳤습니다. #루오양",@河南日报,2024-10-08
21,耽罗文化节,탐라문화제,0:44,14,五指山黎苗童声合唱团亮相耽罗文化节，与多国艺术团共巡游 #社会 #文化 #五指山 #合唱团 #海南,"우즈산 리먀오 어린이 합창단, 타마린드 문화 축제에 출연하여 다국적 예술 단체와 퍼레이드 #사회 #문화 #우즈산 #합창단 #하이난",@海南日报,2024-10-07
22,耽罗文化节,탐라문화제,0:18,359,南海，耽古邀请函已送到，下站夏僚峝主。#海南文化 #军坡文化节 #乩童文化,"남중국해, 고대를 지연시키는 초대장, 다음 역 샤 관료 스턴트 마스터가 전달되었습니다. #하이난 문화 #준포 문화제 #중세 문화",@🐎,2024-08-25
23,耽罗文化节,탐라문화제,2:08,107,贵州古娄罗文化民歌节 演绎千百年传统文化,"구이저우 굴로 문화 민요 축제, 수천 년 전통 문화 공연",@斌哥视觉,2023-10-23
24,耽罗文化节,탐라문화제,3:24,107,雪域秘境 神奇普兰 第二届文化旅游节#哦罗我年轻我说唱 #演出现场 #民族文化 #民族音乐 @小边💃🎶 @符合那边 @Tashi-Paljor @@🪕贡先森🏀 @益总 @梅朗多琼མེ་གླང་རྡོར་ཆུང། @纳仓群培,눈마술의 비밀의 땅 포란 제2회 문화관광축제 #오늘은젊은나는랩 #공연 #민족문화 #민족음악 @샤오비안💃🎶 @ConformsToThatSide @타시팔조르 @🪕공시안센🏀 @이치프 @메이랑두오치옹མ ེ་གླང་ར ྡོར་ཆུང། @Nakuragunpei,@藏·F@岗珠尕尔玛🎶,2024-08-16
25,耽罗文化节,탐라문화제,0,18,安海端午节民俗文化遗产嗦罗连。,안하이 용선 축제 민속 문화유산 쇼롤리안.,@一舤,2022-06-03
26,耽罗文化节,탐라문화제,0,9,晋江市（安海）第十一届端午民俗旅游文化节开幕式 《安海嗦啰嗹》安海镇音乐与舞蹈协会 安海霁雲殿嗦啰嗹表演队 《品•粽香》来自伊森贝拉艺术团学员#端午节 #安海 #嗦啰嗹,제11회 용선축제 진강(안하이) 민속관광문화축제 개막식 안하이 떨리는 수다 안하이진 음악무용협회 안하이 지윤뎬 떨리는 수다 공연팀 이센벨라 예술단 학생들의 핀종샹 #두안우축제 #안하이 # 떨리는수다,@神奇女侠💃肖老师,2023-06-22
27,耽罗文化节,탐라문화제,1:30,290,耽车三月初八庙会舞蹈节目#跟着节奏嗨起来 #民俗文化 #庙会,탐찻에서 3 월 8 일 셋째 날 사원 박람회를위한 댄스 프로그램 #비트에 맞춰 높이 올라 #민속 문화 #사원 박람회,@红仁核桃哥,2024-03-12
28,耽罗文化节,탐라문화제,0:40,6,#漫展 #带着抖音逛漫展 #中国西部动漫文化节 漫展见到老师了,#코믹콘 #지터버그와 함께 코믹콘 둘러보기 #중국 서부 만화 문화 축제 코믹콘 선생님을 만나다,@Mimnor米诺,2024-05-03
29,耽罗文化节,탐라문화제,0:22,13000,#传统文化季 原耽版白月光与朱砂痣我不准你没听过 #伪装学渣 #木瓜黄#撒野#巫哲 #全球高考 #木苏里,#전통문화시즌 오리지널 지연판 하얀달빛과 주홍두더지 못 들어보셨나요 #위장한쓰레기 #파파야노랑 #산야 #우제 #글로벌고시 #무수리,@钟意写字,2021-05-27
