keywords,comments,years,trans_comments
韓国旅行,wifiは韓国の日本語サイトで予約したら半額で借りれる,2024,와이파이를 한국 일본어 사이트에서 예약하면 반값에 대여할 수 있다.
韓国旅行,辛くないが辛い辛くないの食べたい時はどうしたらいいんだ,2024,맵지 않은 매운맛을 먹고 싶을 때는 어떻게 하면 좋을까?
韓国旅行,韓国も随分変わりましたな昔は英語は日本より通じなくて手書きの漢字の方が中年の方との会話には通じたんです,2024,"한국도 많이 변했네요, 예전에는 영어가 일본보다 통하지 않아 손글씨로 쓴 한자가 중장년층과 대화할 때 더 잘 통했었는데요."
韓国旅行,辛いは辛くないって本当,2024,매운 것은 맵지 않다는 사실
韓国旅行,一回乗り換え駅で改札エラー出た時韓国語で捲し立てられてどうしていいかわからなくてパニクったことある 意外と英語通じないイメージハズレだったんかね,2024,한번은 환승역에서 개찰구 에러가 났을 때 한국어로 호통을 쳐서 어떻게 해야 할지 몰라 당황한 적이 있다 의외로 영어가 통하지 않는 이미지 실수였나 보다.
韓国旅行,チャンは行かない行ってはいけない,2024,장은 가지 말아야 한다
韓国旅行,普通wifiなんか勧めないesimsimの方が安くて便利なのは分かりきっているのにプロモーション絡まないとね,2024,"보통 와이파이 따위는 추천하지 않는데, esimsim이 더 싸고 편리하다는 건 뻔히 알면서도 프로모션이 얽혀있지 않으면........"
韓国旅行,韓国人の基準で辛いは辛シンラメーンの辛さの以上か以下のことで考えてるから辛さの質問をするときには必ず辛ラーメンよりからいですかとか辛い味がしますかと質問した方がいい,2024,"한국인의 기준에서 매운맛은 매운 신라면의 매운맛 이상 또는 그 이하로 생각하기 때문에 매운맛에 대한 질문을 할 때는 반드시 매운라면보다 더 매운지, 매운맛이 더 강한지 물어보는 것이 좋다."
韓国旅行,和製英語の発音はとても独特で聞き取りにくいです 韓国人が英語ができないと感じたのは日本式の発音が聞き取れないからである可能性が高いです,2024,일본식 영어 발음은 매우 독특하고 알아듣기 어렵다 한국인이 영어를 못한다고 느끼는 것은 일본식 발음을 알아듣지 못하기 때문일 가능성이 높다.
韓国旅行,それでも韓国は日本語を話せる人の割合が地球上で日本の次に大きい国です,2024,그럼에도 불구하고 한국은 일본 다음으로 일본어를 구사할 수 있는 사람의 비율이 높은 나라입니다.
韓国旅行,韓国人です 交通カードはアートボックスというところにかわいいデザインがたくさんあります 宿の近くや行かれる場所の近くにアートボックスがあれば空港から片道に移動してから購入するのもおすすめです 価格は3000ウォン5000ウォン程度 短所はアートボックスで交通カードのチャージができないのでコンビニや地下鉄の駅でチャージをしなければなりません  地下鉄の駅で日本語で充電ができるので心配はありません,2024,한국인입니다 교통카드는 아트박스라는 곳에 귀여운 디자인이 많이 있습니다 숙소 근처나 갈 곳 근처에 아트박스가 있으면 공항에서 편도 이동 후 구입하는 것도 추천합니다 가격은 3000원 5000원 정도입니다 단점은 아트박스에서 교통카드의 충전이 안되기 때문에 편의점이나 지하철 역에서 충전을 해야 한다는 점. 지하철 역에서 일본어로 충전을 할 수 있으니 걱정하지 않아도 된다.
韓国旅行,俺にとって6はほんと大事だ,2024,나에게 6은 정말 중요하다
韓国旅行,南朝鮮に行く人って基本メディアに載せられてるか帰国でしょ,2024,남한에 가는 사람은 기본적으로 언론에 실리거나 귀국하지 않습니까?
韓国旅行,wifiはめんどくさいやろ,2024,와이파이가 귀찮지 않나?
韓国旅行,辛いは辛く無い 逆じゃ 辛く無いは辛い,2024,매운 것은 매운 것이 아니고 반대로 매운 것은 매운 것이 아니다.
韓国旅行,英語通じる人ホテル以外ほとんど居なかった タクシーすら,2024,영어가 통하는 사람 호텔 외에는 거의 없었고 택시도 거의 없었다.
韓国旅行,今ってwowpassじゃない,2024,지금은 와우패스가 아니다
韓国旅行,韓国で英語はほとんど通じません 話せる人がいたらラッキー程度です,2024,한국에서는 영어가 거의 통하지 않습니다. 영어를 할 수 있는 사람이 있으면 운이 좋은 정도입니다.
韓国旅行,コスメや化粧品機内持ち込みしないこと はなぜか教えてください,2024,화장품이나 화장품을 기내 반입하지 말아야 하는 이유는 무엇인가요?
韓国旅行,どこ行くか全く決めてなくて電車乗りまくる可能性ある人はソウル市乗り放題チケット買うのおすすめマジで助かったあとレートが高いwowpassもよかった,2024,"어디로 갈지 전혀 정하지 않고 전철을 타고 다닐 가능성이 있는 사람은 서울시내 무제한 승차권 사는 것을 추천한다 정말 도움이 많이 됐고, 요금이 비싼 와우패스도 좋았다."
韓国旅行,日本語も通じるってまじですか,2024,일본어가 통한다는 게 진짜예요?
韓国旅行,久々海外旅行する予定ですスマホについて聞いて良いですか１人で行く予定です 日本で使ってるスマホは高い請求されたくないから自分のスマホは電源オフしスマホはレンタルを空港でｗｉｆｉと一緒にすべきですか 教えて下さい,2024,오랜만에 해외여행을 갈 계획입니다 스마트폰에 대해 물어봐도 될까요 혼자 갈 계획입니다 일본에서 사용하는 스마트폰은 비싼 요금이 청구되는 것을 원하지 않기 때문에 자신의 스마트폰은 전원을 끄고 스마트폰은 공항에서 와이파이와 함께 대여해야 하나요?
